Module,Module Number,Relationship,First Object Name,First Image Number,First Object Number,Second Object Name,Second Image Number,Second Object Number
MeasureObjectNeighbors,9,Neighbors,FilterObjects,17,3,FilterObjects,17,5
MeasureObjectNeighbors,9,Neighbors,FilterObjects,17,3,FilterObjects,17,6
MeasureObjectNeighbors,9,Neighbors,FilterObjects,17,4,FilterObjects,17,1
MeasureObjectNeighbors,9,Neighbors,FilterObjects,17,4,FilterObjects,17,2
MeasureObjectNeighbors,9,Neighbors,FilterObjects,17,4,FilterObjects,17,5
MeasureObjectNeighbors,9,Neighbors,FilterObjects,17,4,FilterObjects,17,7
MeasureObjectNeighbors,9,Neighbors,FilterObjects,17,5,FilterObjects,17,2
MeasureObjectNeighbors,9,Neighbors,FilterObjects,17,5,FilterObjects,17,3
MeasureObjectNeighbors,9,Neighbors,FilterObjects,17,5,FilterObjects,17,4
MeasureObjectNeighbors,9,Neighbors,FilterObjects,17,5,FilterObjects,17,6
MeasureObjectNeighbors,9,Neighbors,FilterObjects,17,5,FilterObjects,17,7
MeasureObjectNeighbors,9,Neighbors,FilterObjects,17,5,FilterObjects,17,8
MeasureObjectNeighbors,9,Neighbors,FilterObjects,17,6,FilterObjects,17,3
MeasureObjectNeighbors,9,Neighbors,FilterObjects,17,6,FilterObjects,17,5
MeasureObjectNeighbors,9,Neighbors,FilterObjects,17,6,FilterObjects,17,8
MeasureObjectNeighbors,9,Neighbors,FilterObjects,17,7,FilterObjects,17,1
MeasureObjectNeighbors,9,Neighbors,FilterObjects,17,7,FilterObjects,17,4
MeasureObjectNeighbors,9,Neighbors,FilterObjects,17,7,FilterObjects,17,5
MeasureObjectNeighbors,9,Neighbors,FilterObjects,17,7,FilterObjects,17,8
MeasureObjectNeighbors,9,Neighbors,FilterObjects,17,8,FilterObjects,17,5
MeasureObjectNeighbors,9,Neighbors,FilterObjects,17,8,FilterObjects,17,6
MeasureObjectNeighbors,9,Neighbors,FilterObjects,17,8,FilterObjects,17,7
MeasureObjectNeighbors,9,Neighbors,FilterObjects,18,1,FilterObjects,18,2
MeasureObjectNeighbors,9,Neighbors,FilterObjects,18,1,FilterObjects,18,4
MeasureObjectNeighbors,9,Neighbors,FilterObjects,18,1,FilterObjects,18,7
MeasureObjectNeighbors,9,Neighbors,FilterObjects,18,2,FilterObjects,18,1
MeasureObjectNeighbors,9,Neighbors,FilterObjects,18,2,FilterObjects,18,3
MeasureObjectNeighbors,9,Neighbors,FilterObjects,18,2,FilterObjects,18,4
MeasureObjectNeighbors,9,Neighbors,FilterObjects,18,2,FilterObjects,18,5
MeasureObjectNeighbors,9,Neighbors,FilterObjects,18,3,FilterObjects,18,2
MeasureObjectNeighbors,9,Neighbors,FilterObjects,18,3,FilterObjects,18,5
