stepNum,ObjectNumber,Location_Center_X,Location_Center_Y,AreaShape_MajorAxisLength,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50,id,parent_id,noise_bac,unexpected_end,unexpected_beginning,changed
306,484,41.54232558,62.1895814,3.235134176,0,0,25949,0,FALSE,FALSE,TRUE,TRUE
306,487,34.95188571,62.6184,3.540566802,305,482,21662,0,FALSE,FALSE,FALSE,TRUE
306,491,30.3570989,62.48808791,2.869194736,0,0,25951,0,FALSE,FALSE,TRUE,FALSE
306,496,70.04571429,63.76885714,3.39100934,0,0,25953,0,FALSE,FALSE,TRUE,FALSE
306,503,38.2402623,63.84629508,2.980934802,305,498,25399,25215,FALSE,FALSE,FALSE,TRUE
306,509,4.180430769,64.63384615,3.179340069,0,0,25956,0,FALSE,FALSE,TRUE,TRUE
306,515,40.08727273,65.22472727,3.437595079,0,0,25958,0,FALSE,FALSE,TRUE,TRUE
306,521,66.20210526,65.50029474,2.663148285,0,0,25961,0,FALSE,FALSE,TRUE,TRUE
306,523,81.14688,67.44907636,6.960330102,0,0,25963,0,FALSE,FALSE,TRUE,TRUE
306,532,11.16993103,65.82041379,2.03467101,0,0,25964,0,FALSE,FALSE,TRUE,FALSE
306,534,63.14019383,70.37318062,12.16887216,305,513,25717,25401,FALSE,FALSE,FALSE,TRUE
306,538,66.70850704,67.76214085,5.663436879,0,0,25965,0,FALSE,FALSE,TRUE,FALSE
306,539,16.89114607,68.26031461,7.624434427,0,0,25966,0,FALSE,FALSE,TRUE,FALSE
306,550,39.74764557,67.66541772,2.516425505,0,0,25970,0,FALSE,FALSE,TRUE,TRUE
306,554,7.094634146,68.03121951,2.246608549,0,0,25974,0,FALSE,FALSE,TRUE,FALSE
306,564,31.26207519,68.77136842,4.348612768,0,0,25979,0,FALSE,FALSE,TRUE,TRUE
306,578,63.9072,69.36707368,2.713213042,0,0,25984,0,FALSE,FALSE,TRUE,TRUE
306,580,32.4384,69.0384,2.02018299,0,0,25985,0,FALSE,FALSE,TRUE,FALSE
306,589,33.0405,69.7335,3.373154668,0,0,25988,0,FALSE,FALSE,TRUE,FALSE
306,593,5.987612903,70.14425806,1.747594505,0,0,25989,0,FALSE,FALSE,TRUE,FALSE
306,597,32.91096774,70.80154839,4.202737383,0,0,25990,0,FALSE,FALSE,TRUE,FALSE
306,606,10.16020253,71.95443038,2.592193909,0,0,25994,0,FALSE,FALSE,TRUE,FALSE
306,629,38.08946939,72.54759184,4.481588347,0,0,26002,0,FALSE,FALSE,TRUE,FALSE
306,631,48.53005714,72.85577143,2.632918628,0,0,26004,0,FALSE,FALSE,TRUE,FALSE
306,643,26.73656471,73.55689412,2.707254801,0,0,26009,0,FALSE,FALSE,TRUE,TRUE
306,652,10.1267027,74.08410811,2.127717535,0,0,26011,0,FALSE,FALSE,TRUE,TRUE
306,667,36.74964706,75.17929412,2.901537026,0,0,26017,0,FALSE,FALSE,TRUE,FALSE
306,668,48.58280597,74.63713433,4.736708347,0,0,26018,0,FALSE,FALSE,TRUE,TRUE
306,675,32.6177561,75.53853659,2.312133025,0,0,26019,0,FALSE,FALSE,TRUE,FALSE
306,677,33.62742857,75.42857143,1.356707225,0,0,26020,0,FALSE,FALSE,TRUE,FALSE
306,684,76.50596985,77.27300503,5.244409195,0,0,26021,0,FALSE,FALSE,TRUE,TRUE
306,690,75.18074336,77.02343363,3.269901829,0,0,26022,0,FALSE,FALSE,TRUE,TRUE
306,699,78.89165217,77.08069565,2.479333426,0,0,26025,0,FALSE,FALSE,TRUE,TRUE
306,706,77.72874419,77.49432558,3.671506902,0,0,26026,0,FALSE,FALSE,TRUE,TRUE
306,712,71.62226087,78.48834783,4.302949762,0,0,26027,0,FALSE,FALSE,TRUE,FALSE
306,716,47.13882353,77.4187563,3.71975785,0,0,26028,0,FALSE,FALSE,TRUE,TRUE
306,728,70.50788571,78.76937143,2.955945643,0,0,26030,0,FALSE,FALSE,TRUE,FALSE
